route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
0,SA,111353455,Union Station,0,   0  4,1018134
0,SA,111353456,Union Station,0,   0  1,1018127
0,SA,111353457,Union Station,0,   0  5,1018133
0,SA,111353458,Union Station,0,   0  7,1018133
0,SA,111353459,Union Station,0,   0  9,1018128
0,SA,111353460,Union Station,0,   0  8,1018141
0,SA,111353461,Union Station,0,   0  5,1018127
0,SA,111353462,Union Station,0,   0  4,1018143
0,SA,111353463,Union Station,0,   0  1,1018127
0,SA,111353464,Union Station,0,   0  6,1018127
0,SA,111353465,Union Station,0,   0  8,1018127
0,SA,111353466,Union Station,0,   0 11,1018127
0,SA,111353467,Union Station,0,   0 10,1018133
0,SA,111353468,Union Station,0,   0 10,1018133
0,SA,111353469,Union Station,0,   0  3,1018127
0,SA,111353470,Union Station,0,   0  2,1018127
0,SA,111353471,Union Station,0,   0 10,1018127
0,SA,111353472,Union Station,0,   0  8,1018127
0,SA,111353473,Union Station,0,   0  2,1018133
0,SA,111353474,Union Station,0,   0  8,1018133
0,SA,111353475,Union Station,0,   0 11,1018133
0,SA,111353476,Union Station,0,   0  1,1018133
0,SA,111353477,Union Station,0,   0  9,1018133
0,SA,111353478,Union Station,0,   0  8,1018133
0,SA,111353479,Union Station,0,   0  5,1018131
0,SA,111353480,Union Station,0,   0  5,1018141
0,SA,111353481,Union Station,0,   0  4,1018127
0,SA,111353482,Union Station,0,   0  5,1018127
0,SA,111353483,Union Station,0,   0  1,1018127
0,SA,111353484,Union Station,0,   0  4,1018131
0,SA,111353485,Union Station,0,   0  8,1018133
0,SA,111353486,Union Station,0,   0  6,1018133
0,SA,111353487,Union Station,0,   0  3,1018133
0,SA,111353488,Union Station,0,   0  4,1018133
0,SA,111353489,Union Station,0,   0  6,1018127
0,SA,111353490,Union Station,0,   0  3,1018141
0,SA,111353491,Union Station,0,   0  3,1018127
0,SA,111353492,Union Station,0,   0  7,1018127
0,SA,111353493,Union Station,0,   0  5,1018127
0,SA,111353494,Union Station,0,   0  2,1018133
0,SA,111353495,Union Station,0,   0  9,1018131
0,SA,111353496,Union Station,0,   0 11,1018133
0,SA,111353497,Union Station,0,   0  1,1018133
0,SA,111353498,Union Station,0,   0  6,1018133
0,SA,111353499,Union Station,0,   0 10,1018133
0,SA,111353500,Union Station,0,   0  4,1018133
0,SA,111353501,Union Station,0,   0  5,1018133
0,SA,111353502,Union Station,0,   0  4,1018143
0,SA,111353503,Union Station,0,   0  3,1018131
0,SA,111353504,Union Station,0,   0 11,1018133
0,SA,111353505,Union Station,0,   0 10,1018127
0,SA,111353506,Union Station,0,   0  8,1018131
0,SA,111353507,Union Station,0,   0  9,1018127
0,SA,111353508,Union Station,0,   0  6,1018133
0,SA,111353509,Union Station,0,   0  3,1018143
0,SA,111353510,Union Station,0,   0  2,1018127
0,SA,111353511,Union Station,0,   0  4,1018127
0,SA,111353512,Union Station,0,   0  8,1018128
0,SA,111353513,Union Station,0,   0  9,1018133
0,SA,111353514,Union Station,0,   0  3,1018133
0,SA,111353515,Union Station,0,   0  4,1018127
0,SA,111353516,Union Station,0,   0  5,1018128
0,SA,111353517,Union Station,0,   0  6,1018127
0,SA,111353518,Union Station,0,   0  3,1018134
0,SA,111353519,Union Station,0,   0  4,1018133
0,SA,111353520,Union Station,0,   0 10,1018132
0,SA,111353521,Union Station,0,   0  1,1018127
0,SA,111353522,Union Station,0,   0 11,1018127
0,SA,111353523,Union Station,0,   0 10,1018127
0,SA,111353524,Union Station,0,   0  7,1018127
0,SA,111353525,Union Station,0,   0  9,1018127
0,SA,111353526,Union Station,0,   0  7,1018133
0,SA,111353527,Union Station,0,   0  7,1018132
0,SA,111353528,Union Station,0,   0  2,1018141
0,SA,111353529,Union Station,0,   0  7,1018133
0,SA,111353530,Union Station,0,   0 11,1018127
0,SA,111353531,Union Station,0,   0  9,1018127
0,SA,111353532,Union Station,0,   0  3,1018127
0,SA,111353533,Union Station,0,   0  2,1018127
0,SA,111353534,Union Station,0,   0  7,1018127
0,SA,111353535,Englewood Station,1,   0  2,1018151
0,SA,111353536,Highlands Ranch,1,   0  2,1018157
0,SA,111353537,Englewood Station,1,   0 10,1018151
0,SA,111353538,Broadway Stn,1,   0  5,1018169
0,SA,111353539,Highlands Ranch,1,   0  6,1018157
0,SA,111353540,Highlands Ranch,1,   0  3,1018157
0,SA,111353541,Highlands Ranch,1,   0  9,1018157
0,SA,111353542,Highlands Ranch,1,   0  3,1018157
0,SA,111353543,Highlands Ranch,1,   0  9,1018157
0,SA,111353544,Highlands Ranch,1,   0  2,1018155
0,SA,111353545,Englewood Station,1,   0 11,1018151
0,SA,111353546,Highlands Ranch,1,   0  7,1018157
0,SA,111353547,Broadway Stn,1,   0  9,1018169
0,SA,111353548,Highlands Ranch,1,   0  1,1018157
0,SA,111353549,Highlands Ranch,1,   0  5,1018155
0,SA,111353550,Highlands Ranch,1,   0  9,1018157
0,SA,111353551,Englewood Station,1,   0  3,1018151
0,SA,111353552,Englewood Station,1,   0  8,1018151
0,SA,111353553,Highlands Ranch,1,   0 10,1018157
0,SA,111353554,Highlands Ranch,1,   0  8,1018157
0,SA,111353555,Englewood Station,1,   0  6,1018151
0,SA,111353556,Highlands Ranch,1,   0  6,1018157
0,SA,111353557,Englewood Station,1,   0  4,1018149
0,SA,111353558,Highlands Ranch,1,   0  2,1018157
